id_departamento,nro_conabip,provincia,fecha_fundacion,mail
6098,2492,Buenos Aires,1980-01-01,
6098,3692,Buenos Aires,1995-06-10,pascualruberto@hotmail.com
6098,2318,Buenos Aires,1947-06-20,
6105,93,Buenos Aires,1911-12-15,bib_rivadavia@yahoo.com.ar
6105,1478,Buenos Aires,1926-05-26,cultural_07@yahoo.com.ar
6105,3801,Buenos Aires,1972-07-08,
6105,1769,Buenos Aires,1933-07-21,bpurdampilleta@yahoo.com.ar
6112,2191,Buenos Aires,1943-12-03,bbelgrano@yahoo.com.ar
6112,3749,Buenos Aires,1997-07-31,
6112,1857,Buenos Aires,1926-05-01,
6021,2135,Buenos Aires,1940-06-01,bpjimechita@live.com.ar
6112,4142,Buenos Aires,1980-01-01,bpjiwarnes@yahoo.com.ar
6119,1676,Buenos Aires,1932-05-25,
6119,4166,Buenos Aires,1980-01-01,gallardosandra@hotmail.com
6119,4024,Buenos Aires,2002-03-22,
6126,3468,Buenos Aires,1992-09-08,bibliotecatraverso@yahoo.com.ar
6134,1266,Buenos Aires,1927-07-01,bibliotecapopulardfsarmiento@hotmail.com
6134,3900,Buenos Aires,1980-01-01,sanestebanbibliotecapopular@yahoo.com.ar <SANESTEBANBIBLIOTECAPOPULAR@YAHOO.COM.AR>
6140,1002,Buenos Aires,1923-05-21,bpalmafuerte@hotmail.com
6147,2861,Buenos Aires,1963-09-07,biblioingenieros@gmail.com
6147,4289,Buenos Aires,2009-02-28,biblioellibroalegre@hotmail.com.ar
6147,3045,Buenos Aires,1984-12-01,
6154,268,Buenos Aires,1916-10-28,bibliotejedor@yahoo.com.ar
6154,258,Buenos Aires,1920-09-26,sanjose@servicoopsa.com.ar
6161,270,Buenos Aires,1914-09-08,bibliocada@yahoo.com.ar
6168,2264,Buenos Aires,1940-04-24,biblicast@yahoo.com.ar
6210,1381,Buenos Aires,1907-01-01,
6210,222,Buenos Aires,1920-01-01,
6218,113,Buenos Aires,,bpsarmiento113@yahoo.com.ar
6218,3038,Buenos Aires,1982-09-25,biblovillalujan@hotmail.com
6218,3189,Buenos Aires,1986-02-13,biblioteka_jso@yahoo.com
6218,3631,Buenos Aires,1994-10-07,labiblioamb@hotmail.com
6218,3890,Buenos Aires,1997-02-22,bibliotecaipora2000@yahoo.com.ar
6224,105,Buenos Aires,,bibliotecanovaro@hotmail.com
6182,3571,Buenos Aires,1994-09-23,
6182,4334,Buenos Aires,2002-07-19,bibliomercedesdesanmartin@gmail.com
6189,1312,Buenos Aires,1928-05-24,
6189,3483,Buenos Aires,1982-03-01,biblioelperdido@gmail.com
6189,1347,Buenos Aires,1928-12-05,biblioameghino@altisa.com.ar
6196,2225,Buenos Aires,1932-07-10,
6203,101,Buenos Aires,1915-01-31,bibliotecasarmiento_2000@yahoo.com.ar
6203,3591,Buenos Aires,1991-01-31,glabuscfliawach@gmail.com
6203,3894,Buenos Aires,1969-09-27,bibliotecapopularhuanguelen@gmail.com
6175,1883,Buenos Aires,1920-04-24,
6182,1770,Buenos Aires,1933-02-19,bibjbalberdi@gmail.com
6182,3364,Buenos Aires,1980-01-01,nancy_flo@hotmail.com
6238,118,Buenos Aires,1945-10-27,
6245,167,Buenos Aires,1917-07-22,
6245,1620,Buenos Aires,1932-06-18,
6245,2151,Buenos Aires,1924-11-18,
6245,3647,Buenos Aires,1957-04-02,
6245,4065,Buenos Aires,1980-01-01,anamzanoni@yahoo.com.ar
6252,1673,Buenos Aires,1932-09-25,bp20dediciembre@gmail.com
6252,861,Buenos Aires,1929-07-09,alberdibiblio@yahoo.com.ar
6260,2843,Buenos Aires,1964-05-24,bibliotecaameghino@gmail.com
6260,1733,Buenos Aires,1932-09-01,
6260,3452,Buenos Aires,1980-01-01,
6270,4357,Buenos Aires,1993-11-06,bibliotecaeltrebol@gmail.com
6270,2810,Buenos Aires,1959-08-09,bpdfsts@yahoo.com.ar
6274,3522,Buenos Aires,1995-08-19,
6274,123,Buenos Aires,1920-07-04,bibliotecasarmiento_varela@yahoo.com.ar
6274,3158,Buenos Aires,1985-03-31,almafuertebib@yahoo.com.ar
6274,3499,Buenos Aires,1980-01-01,arravera@hotmail.com
6274,3891,Buenos Aires,1999-08-30,
6274,3926,Buenos Aires,1980-01-01,bibliotecahugodelcarril@gmail.com
6274,4051,Buenos Aires,1980-01-01,bibliostomas@yahoo.com.ar
6274,4242,Buenos Aires,2004-05-18,bpdemuro@live.com.ar
6274,3916,Buenos Aires,2000-07-02,
6274,4170,Buenos Aires,1980-01-01,bibliotecaflorenciosanchez@yahoo.com.ar
6280,3767,Buenos Aires,1997-05-25,
6280,3518,Buenos Aires,1976-12-19,biblioteca_miramar@yahoo.com.ar
6287,131,Buenos Aires,1915-04-29,bibliofbalcarce@yahoo.com.ar
6294,1707,Buenos Aires,1932-10-12,
6294,4119,Buenos Aires,2003-10-23,
6308,276,Buenos Aires,1980-01-01,
6315,2789,Buenos Aires,1944-04-02,
6322,2914,Buenos Aires,1944-03-15,nesoa_07@yahoo.com.ar
6329,174,Buenos Aires,1914-12-02,
6336,3292,Buenos Aires,1974-05-01,bibliotecaglavalle@hotmail.com
6351,3633,Buenos Aires,1996-11-22,bibliogranada@yahoo.com.ar
6351,126,Buenos Aires,1913-06-13,
6351,2824,Buenos Aires,1961-03-01,
6351,3922,Buenos Aires,2000-06-10,bibliotecapopularjuan23@hotmail.com
6357,2697,Buenos Aires,1911-11-16,
6357,3476,Buenos Aires,1994-11-21,
6357,3836,Buenos Aires,1980-01-01,
6357,4076,Buenos Aires,1980-01-01,
6357,4122,Buenos Aires,1996-09-21,
6357,4349,Buenos Aires,2014-11-10,
6364,2063,Buenos Aires,1936-07-20,
6385,2501,Buenos Aires,1939-05-07,bibpopmm_lostoldos@yahoo.com.ar
6385,4280,Buenos Aires,2011-05-12,
6392,3724,Buenos Aires,1961-10-21,bibliob@yahoo.com.ar
6392,3196,Buenos Aires,1991-06-28,biblio@cseca.com.ar
6392,3194,Buenos Aires,1935-08-25,biblio@servicoopsa.com.ar
6392,3197,Buenos Aires,1979-10-27,blynch@servicoopsa.com.ar
6392,3339,Buenos Aires,1991-09-05,biblioteca_fortingainza09@hotmail.com
6399,3925,Buenos Aires,2000-08-20,
6399,3715,Buenos Aires,1980-01-01,bibliojh97@yahoo.com.ar
6399,4069,Buenos Aires,2000-11-27,bparditirocha@hotmail.com
6399,4177,Buenos Aires,1980-01-01,bpaliciatmorales_garre@yahoo.com.ar
6399,2998,Buenos Aires,1956-10-25,
6406,1248,Buenos Aires,1922-06-14,bibliopopalmafuerte@yahoo.com.ar
6408,2923,Buenos Aires,1975-05-13,
6408,3621,Buenos Aires,1980-01-01,biblioapalacios@yahoo.com.ar
6410,4002,Buenos Aires,2000-04-16,bibliotecalatradicion@yahoo.com.ar
6413,139,Buenos Aires,1909-05-27,
6413,1054,Buenos Aires,1923-04-12,
6413,1412,Buenos Aires,1928-10-05,
6413,1454,Buenos Aires,1930-02-04,
6413,1809,Buenos Aires,1933-06-02,biblioteca9dejulio@gmail.com
6413,1874,Buenos Aires,1929-02-19,armando_de_miguel@hotmail.com
6413,4389,Buenos Aires,2022-03-11,piosoberanobibliotecapopular@gmail.com
6413,3928,Buenos Aires,1940-05-07,
6420,3696,Buenos Aires,1985-09-01,biblo093@yahoo.com.ar
6420,3574,Buenos Aires,1992-06-15,bibliotecamardeltuyu@yahoo.com.ar
6420,4368,Buenos Aires,2005-07-23,bibliotecasobral@yahoo.com.ar
6420,3910,Buenos Aires,1980-01-01,
6420,4125,Buenos Aires,1980-01-01,bib-arocha@educar
6420,3128,Buenos Aires,1980-01-01,ctc0057@hotmail.com
6427,2880,Buenos Aires,1963-11-03,
6427,4299,Buenos Aires,1976-09-04,bibliotecamflara@hotmail.com
6427,3241,Buenos Aires,1980-01-01,
6427,3293,Buenos Aires,1980-01-01,fundaciondeliacdea@gmail.com
6427,4182,Buenos Aires,1980-01-01,bibliotecapopularrotaria@yahoo.com.ar
6427,4010,Buenos Aires,1998-11-10,amigosdelatablada@yahoo.com.ar
6427,4228,Buenos Aires,1980-01-01,biblioteca_alma@hotmail.com
6427,3921,Buenos Aires,2000-06-01,bptinkunaku@yahoo.com.ar
6427,3203,Buenos Aires,1993-06-11,bibalma@yahoo.com.ar
6427,3762,Buenos Aires,1999-03-30,biblioteca303@yahoo.com.ar
6427,4338,Buenos Aires,2003-02-21,bibliotecapopularimagen121@gmail.com
6427,1880,Buenos Aires,1930-04-18,bibliomoreno@yahoo.com.ar
6427,3730,Buenos Aires,1998-02-17,
6427,3913,Buenos Aires,1999-02-02,
6427,4041,Buenos Aires,1999-12-06,biblioteca308@yahoo.com.ar
6441,2585,Buenos Aires,1936-09-26,bibliofameghino@yahoo.com.ar
6441,3736,Buenos Aires,1997-09-20,
6441,165,Buenos Aires,1918-05-02,bibliotecaalborada@yahoo.com
6441,1483,Buenos Aires,1915-10-01,
6441,1747,Buenos Aires,1927-12-27,
6441,1830,Buenos Aires,1903-10-12,
6441,1973,Buenos Aires,1927-08-03,
6441,2069,Buenos Aires,1936-04-15,bibliotecapopularsanmartin@hotmail.com
6441,2098,Buenos Aires,1929-04-16,bibliotecameridianov@hotmail.com
6441,2127,Buenos Aires,1941-12-06,bprepetto@gmail.com
6441,2323,Buenos Aires,1945-01-01,bibliotecafameghino@hotmail.com
6441,2436,Buenos Aires,1944-07-01,bibliojuanvucetich@gmail.com
6441,2498,Buenos Aires,1947-09-21,
6441,2546,Buenos Aires,1939-03-27,
6441,2644,Buenos Aires,1954-11-30,
6441,2757,Buenos Aires,1940-11-12,
6441,3313,Buenos Aires,1950-02-23,
6441,3681,Buenos Aires,1980-01-01,
6441,3717,Buenos Aires,1980-01-01,bib.homeromanzi@gmail.com
6441,3786,Buenos Aires,1960-10-12,
6441,3877,Buenos Aires,1993-08-23,biblioteca_elizalde@yahoo.com.ar
6441,3954,Buenos Aires,1980-01-01,casadeltango_lp@hotmail.com.ar
6441,4140,Buenos Aires,2001-11-04,bibliopcarlosbormida@yahoo.com.ar
6441,4171,Buenos Aires,1980-01-01,ongenlazandopalabras@hotmail.com
6441,4288,Buenos Aires,2011-02-01,delotroladodelarbol@hotmail.com
6441,4376,Buenos Aires,2007-10-01,lagrietaylachicharra@gmail.com
6441,2271,Buenos Aires,1933-09-11,cfloshornos@yahoo.com.ar
6441,3211,Buenos Aires,1980-01-01,biblioharosteguy@yahoo.com.ar
6441,3956,Buenos Aires,1995-06-02,
6441,1920,Buenos Aires,1936-07-11,bibpopmarianomoreno@hotmail.com
6441,2438,Buenos Aires,1923-12-23,
6441,4066,Buenos Aires,1999-10-12,bibliotecatupacamaru@yahoo.com.ar
6441,249,Buenos Aires,1920-06-08,
6434,4117,Buenos Aires,1999-04-30,
6434,150,Buenos Aires,1917-09-07,
6434,2713,Buenos Aires,1945-10-12,
6434,3448,Buenos Aires,1994-06-06,
6434,4021,Buenos Aires,2001-07-16,
6434,3431,Buenos Aires,1980-01-01,bibliopopameghino@hotmail.com
6434,3649,Buenos Aires,1997-03-16,
6434,4135,Buenos Aires,1980-01-01,bibliotecapopularmontechingolo@gmail.com
6434,2676,Buenos Aires,1919-09-19,balberdiescalada@gmail.com
6434,2767,Buenos Aires,1955-09-03,bibliotecabarriocanal@yahoo.com.ar
6434,3828,Buenos Aires,1930-10-05,roxanacaterbetti42@hotmail.com
6434,294,Buenos Aires,1918-03-01,bibliotecasarmiento@yahoo.com.ar
6434,1706,Buenos Aires,1914-12-13,bibprimerodemayo@hotmail.com
6448,2134,Buenos Aires,1940-12-01,bplaprida@yahoo.com.ar
6455,1326,Buenos Aires,1928-08-12,
6462,87,Buenos Aires,1916-08-20,bibliotecapopular@live.com.ar
6462,3153,Buenos Aires,1988-06-20,nuevabibliomatienzo@hotmail.com
6462,2872,Buenos Aires,1961-07-09,bibvedia@yahoo.com.ar
6469,2366,Buenos Aires,1945-09-17,
6469,1684,Buenos Aires,1932-06-12,bibliobayauca@hotmail.com
6469,2729,Buenos Aires,1958-04-18,bibliosalas@yahoo.com.ar
6469,3442,Buenos Aires,1980-01-01,
6469,3946,Buenos Aires,1980-01-01,
6469,177,Buenos Aires,,bibliotecasarmientocoop@hotmail.com.ar
6476,279,Buenos Aires,1918-04-05,
6469,1232,Buenos Aires,1926-08-06,
6476,3622,Buenos Aires,1993-06-10,bibliopopularsanmanuel@gmail.com
6483,122,Buenos Aires,1920-12-27,
6483,175,Buenos Aires,1912-03-16,ccplbsarmiento@yahoo.com.ar
6483,1193,Buenos Aires,1902-01-12,bibliocapponi@yahoo.com.ar
6483,3796,Buenos Aires,1980-01-01,
6490,3865,Buenos Aires,1980-01-01,
6490,3149,Buenos Aires,1980-01-01,
6490,3979,Buenos Aires,1980-01-01,
6490,4196,Buenos Aires,1980-01-01,bipopu_argentinos07@yahoo.com.ar
6490,173,Buenos Aires,1900-05-02,bibliotecamentruytespectaculos@gmail.com
6490,3404,Buenos Aires,1938-09-18,
6490,4115,Buenos Aires,2002-12-06,bibjuliocortazar@yahoo.com.ar
6490,4121,Buenos Aires,2003-01-25,bibliotecapopulardelaciudad@gmail.com
6490,2401,Buenos Aires,1980-01-01,bibliolonghi@hotmail.com
6490,3754,Buenos Aires,1980-01-01,bibliotecasanjose2000@yahoo.com.ar
6490,3823,Buenos Aires,1980-01-01,
6490,4008,Buenos Aires,2000-08-16,bibliotecapopular_sanjuan@hotmail.com
6497,4340,Buenos Aires,2001-03-02,lecturaenck@gmail.com
6497,168,Buenos Aires,1914-11-27,salonesbibliotecaameghino@gmail.com
6497,3182,Buenos Aires,1918-03-29,
6497,3656,Buenos Aires,1996-05-25,
6497,1257,Buenos Aires,1926-05-10,bibliotecaopendoor@hotmail.com
6505,4219,Buenos Aires,2008-04-07,bpegirardengo@gmail.com
6511,3351,Buenos Aires,1966-07-09,
6515,2931,Buenos Aires,1975-04-01,bibwcm@yahoo.com.ar
6515,4262,Buenos Aires,2007-06-02,
6515,3668,Buenos Aires,1998-06-13,monbe3@hotmail.com
6515,3785,Buenos Aires,1998-11-05,bibliotecapolvorines@gmail.com
6515,4151,Buenos Aires,1980-01-01,
6518,4241,Buenos Aires,1977-10-05,bibliotecadepiran@yahoo.com.ar
6525,1998,Buenos Aires,1936-09-12,bibliopop.gsm@gmail.com
6532,194,Buenos Aires,,biblsarmiento_mercedes@hotmail.com
6028,3243,Buenos Aires,1986-04-02,
6539,3303,Buenos Aires,1991-01-24,
6539,4199,Buenos Aires,1980-01-01,
6539,3949,Buenos Aires,1980-01-01,
6539,3999,Buenos Aires,2000-10-20,info@bibliotecaguiraldes.com.ar
6547,3805,Buenos Aires,1980-01-01,
6547,2662,Buenos Aires,1950-09-20,bp_manuelbelgrano@hotmail.com
6553,3315,Buenos Aires,1980-01-01,
6560,4139,Buenos Aires,2000-09-15,
6560,2673,Buenos Aires,1954-01-24,bibliotecambon@live.com.ar
6560,3944,Buenos Aires,2000-09-17,
6560,4336,Buenos Aires,2008-06-20,bibliotkalmafuerte@gmail.com
6560,3886,Buenos Aires,2000-04-25,
6560,4134,Buenos Aires,1980-01-01,bibliotecasanjoseobrero@gmail.com
6560,2243,Buenos Aires,1916-08-30,biblioteca@cbmm.com.ar
6560,3248,Buenos Aires,1980-01-01,bphoracioquiroga@hotmail.com
6560,4003,Buenos Aires,1980-01-01,
6560,2804,Buenos Aires,1958-08-06,bibliopop.pasodelrey@hotmail.es
6560,4106,Buenos Aires,1958-06-20,
6560,1391,Buenos Aires,1929-07-21,
6560,2324,Buenos Aires,1945-02-04,bibliogiuffra@hotmail.com
6560,4040,Buenos Aires,2001-06-30,bibliotecajauretche@yahoo.com.ar
6560,3049,Buenos Aires,1971-07-29,
6560,4274,Buenos Aires,1999-12-02,biblioparlantesur@hotmail.com
6568,3012,Buenos Aires,1964-03-22,
6568,3901,Buenos Aires,1997-01-27,biblioteca_jsgaviota@hotmail.com
6574,3885,Buenos Aires,1980-01-01,biblioalma@yahoo.com.ar
6574,195,Buenos Aires,1907-04-14,biberenchu@copesnet.com.ar
6581,2277,Buenos Aires,1980-01-01,
6581,197,Buenos Aires,1980-01-01,
6581,1309,Buenos Aires,1926-04-03,joseestrada@arnet.com.ar.
6581,1710,Buenos Aires,1932-09-11,
6581,3552,Buenos Aires,1980-01-01,biblioquequen@hotmail.com
6595,135,Buenos Aires,1980-01-01,
6595,201,Buenos Aires,1904-06-20,bibliotecaferroviaria@hotmail.com
6595,202,Buenos Aires,1909-07-25,
6595,3652,Buenos Aires,1996-02-01,biblioteca_amoroso@yahoo.com.ar
6595,3811,Buenos Aires,1998-11-25,biblioindependencia@hotmail.com
6595,3889,Buenos Aires,1980-01-01,
6595,4176,Buenos Aires,1980-01-01,
6595,4371,Buenos Aires,2010-09-24,
6595,3939,Buenos Aires,1999-12-13,
6595,2371,Buenos Aires,1948-04-25,bibliotecasb@yahoo.com.ar
6595,4384,Buenos Aires,2021-08-23,delotroladodelarbolenolavarria@gmail.com
6602,1246,Buenos Aires,1927-10-12,bibpopcervantes@yahoo.com.ar
6609,2646,Buenos Aires,1952-06-29,bibliotecamadero@live.com.ar
6609,1633,Buenos Aires,1931-12-03,
6609,215,Buenos Aires,1910-06-11,bibrivadavia@gmail.com
6609,3255,Buenos Aires,1993-08-12,biblioteca3255@yahoo.com.ar
6616,2073,Buenos Aires,1914-10-11,
6623,1977,Buenos Aires,1933-07-09,
6623,1743,Buenos Aires,1926-12-01,bibliomo@hotmail.com
6623,213,Buenos Aires,1900-10-19,bibliotecamenendez@yahoo.com.ar
6623,1452,Buenos Aires,1929-09-11,
6638,3966,Buenos Aires,2002-03-29,bibliopuma@yahoo.com.ar
6638,4250,Buenos Aires,2007-05-15,marianoadot6@yahoo.com.ar
6638,4366,Buenos Aires,2001-09-05,bibliotecamanzanares@hotmail.com
6638,898,Buenos Aires,1922-03-12,bibliotecapilar@yahoo.com.ar
6638,4344,Buenos Aires,2008-05-18,biblioteca.palabrasdelalma@gmail.com
6638,2984,Buenos Aires,1978-01-03,
6644,3912,Buenos Aires,1980-01-01,
6644,2887,Buenos Aires,1970-06-20,biblioteca@telpin.com.ar
6651,3968,Buenos Aires,1990-04-09,casadelacultura2002@yahoo.com.ar
6651,4222,Buenos Aires,1988-01-08,bibliotecapopularsur@yahoo.com.ar
6651,2158,Buenos Aires,1930-01-22,
6655,2209,Buenos Aires,1941-07-19,
6658,98,Buenos Aires,1980-01-01,
6658,1988,Buenos Aires,1932-08-21,
6091,3984,Buenos Aires,1980-01-01,bibliotecafundaterra@yahoo.com.ar
6658,2090,Buenos Aires,1972-07-28,bibbosco@hotmail.com
6658,3752,Buenos Aires,1998-08-17,bastorni@yahoo.com.ar
6658,3878,Buenos Aires,1980-01-01,
6658,2788,Buenos Aires,1959-08-15,bibliotecapopularpedrogoyena@yahoo.com.ar
6658,3969,Buenos Aires,2000-05-02,bibliotecapopularcooperarios@yahoo.com.ar
6658,4156,Buenos Aires,1980-01-01,bibliotecajmvilaseca@gmail.com
6658,4311,Buenos Aires,2011-12-07,delriobiblioteca@yahoo.com.ar
6028,3040,Buenos Aires,1984-09-28,
6028,3585,Buenos Aires,1994-04-23,
6665,3793,Buenos Aires,1999-05-25,
6665,2554,Buenos Aires,1951-08-11,
6665,3794,Buenos Aires,1999-06-26,
6665,3157,Buenos Aires,1995-10-25,bibliozampa@hotmail.com
6672,221,Buenos Aires,1920-03-20,bibliotecapopulargsrauch@gmail.com
6672,4205,Buenos Aires,2001-02-20,bibliotecaevaperon.rauch@yahoo.com.ar
6679,3697,Buenos Aires,1980-01-01,bibliomunicipal.rivadavia@gmail.com
6686,3829,Buenos Aires,1932-02-28,
6693,2341,Buenos Aires,1946-06-29,giseafrica@yahoo.com.ar
6700,262,Buenos Aires,1942-11-22,
6700,210,Buenos Aires,1914-01-03,bib.sarmiento.pigue@gmail.com
6700,236,Buenos Aires,1916-05-15,biblioteca_jbalberdi@yahoo.com.ar
6707,2428,Buenos Aires,1980-01-01,
6714,4127,Buenos Aires,1980-01-01,renacer465adulce@hotmail.com.ar
6714,233,Buenos Aires,1901-09-14,
6728,232,Buenos Aires,1980-01-01,
6735,230,Buenos Aires,2006-11-06,rot14@hotmail.com
6735,2815,Buenos Aires,1957-12-01,bmarianomoreno@yahoo.com.ar
6742,2115,Buenos Aires,1940-07-28,
6742,3403,Buenos Aires,1980-01-01,
6749,3659,Buenos Aires,1997-11-14,
6749,231,Buenos Aires,,noticiasmadero@gmail.com
6749,3743,Buenos Aires,1980-01-01,
6749,3790,Buenos Aires,1980-01-01,
6749,2022,Buenos Aires,1939-01-14,bpromulonaon@gmail.com
6749,4030,Buenos Aires,2000-10-10,
6749,4031,Buenos Aires,2001-11-16,
6756,3060,Buenos Aires,1980-01-01,
6756,4061,Buenos Aires,1982-05-23,
6756,4188,Buenos Aires,1980-01-01,bpcavajoven@yahoo.com.ar
6756,192,Buenos Aires,1913-07-28,
6756,223,Buenos Aires,,
6756,3690,Buenos Aires,1980-01-01,
6756,3866,Buenos Aires,1980-01-01,
6371,287,Buenos Aires,1914-10-04,bibliopopsanmartin2001@yahoo.com.ar
6371,4175,Buenos Aires,1980-01-01,biblosnuevoser@hotmail.com
6371,4393,Buenos Aires,2022-07-19,
6371,3628,Buenos Aires,1980-01-01,
6371,3960,Buenos Aires,1980-01-01,
6371,1242,Buenos Aires,1927-02-23,bpalberdi@gmail.com
6371,2830,Buenos Aires,1964-11-15,bibliopombo@gmail.com
6371,4178,Buenos Aires,1980-01-01,humbertobielli@hotmail.com
6371,1178,Buenos Aires,1925-07-09,bibliotecarivadavia@yahoo.es
6371,3473,Buenos Aires,1945-04-22,chapmaris@hotmail.com
6371,3728,Buenos Aires,1980-01-01,
6371,3994,Buenos Aires,2000-08-19,bibliorioplatense@hotmail.com
6371,4071,Buenos Aires,1980-01-01,
6371,4073,Buenos Aires,1980-01-01,bibliomurillo@yahoo.com.ar
6760,3644,Buenos Aires,1996-07-08,bphmunzon@hotmail.com
6760,3658,Buenos Aires,1995-08-26,bibliotecaentretodos@yahoo.com.ar
6760,4212,Buenos Aires,1980-01-01,bpelfaro@gmail.com
6760,125,Buenos Aires,1913-06-13,bibliotecadfs@hotmail.com
6763,2691,Buenos Aires,1947-04-24,
6763,4116,Buenos Aires,2000-07-07,bibdelcarmen709@gmail.com
6770,226,Buenos Aires,,
6770,1228,Buenos Aires,1927-04-28,bibliotecadfsarmiento@gmail.com
6778,997,Buenos Aires,1923-04-08,bpsarkorn@yahoo.com.ar
6778,1921,Buenos Aires,1936-05-03,
6784,1502,Buenos Aires,1930-09-26,bibliotecaymuseo@yahoo.com.ar
6791,4367,Buenos Aires,2011-09-24,biblioviejaescuela@gmail.com
6791,1627,Buenos Aires,1932-06-01,
6791,238,Buenos Aires,1916-05-26,bibliotecajbalberdi@yahoo.com.ar
6791,240,Buenos Aires,1908-06-21,bpbrtandil@hotmail.com
6791,1194,Buenos Aires,1919-06-06,
6791,3001,Buenos Aires,1980-01-01,bibliotecasarmiento1940@yahoo.com.ar
6791,3010,Buenos Aires,1978-09-20,biblioteca_valor@hotmail.com
6791,3075,Buenos Aires,1984-07-15,tcdehesa@yahoo.com.ar
6791,3302,Buenos Aires,1988-05-15,
6791,3802,Buenos Aires,1998-07-18,bpalbarracin@yahoo.com.ar
6791,3906,Buenos Aires,1999-12-04,bibliotecaghezzi@gmail.com
